Classification,Clustering,Classifier_Accuracy,Clustering_Accuracy,constant_threshold,resampling,feature_selection_k
Kernel SVM (sigmoid),KMeans,0.7208835341365463,0.6224899598393575,,True,32
K Nearest Neighbors,KMeans,0.39457831325301207,0.3885542168674698,,True,64
Neural Network,KMeans,0.5793172690763053,0.5793172690763053,,True,64
Random Forest,KMeans,0.9708835341365463,0.9708835341365463,,True,64
Kernel SVM (linear),KMeans,0.6375502008032129,0.6375502008032129,,True,64
Kernel SVM (poly),KMeans,0.6475903614457831,0.6475903614457831,,True,64
Kernel SVM (rbf),KMeans,0.6495983935742972,0.6495983935742972,,True,64
Kernel SVM (sigmoid),KMeans,0.6174698795180723,0.6174698795180723,,True,64
K Nearest Neighbors,KMeans,0.35843373493975905,0.35843373493975905,,True,128
Neural Network,KMeans,0.45180722891566266,0.44176706827309237,,True,128
Random Forest,KMeans,0.9759036144578314,0.9759036144578314,,True,128
Kernel SVM (linear),KMeans,0.5783132530120482,0.5783132530120482,,True,128
Kernel SVM (poly),KMeans,0.4728915662650602,0.4728915662650602,,True,128
Kernel SVM (rbf),KMeans,0.5120481927710844,0.5120481927710844,,True,128
Kernel SVM (sigmoid),KMeans,0.5491967871485944,0.5491967871485944,,True,128
K Nearest Neighbors,KMeans,0.35542168674698793,0.35542168674698793,,True,256
Neural Network,KMeans,0.5833333333333334,0.5833333333333334,,True,256
Random Forest,KMeans,0.9558232931726908,0.9558232931726908,,True,256
Kernel SVM (linear),KMeans,0.5552208835341366,0.5552208835341366,,True,256
Kernel SVM (poly),KMeans,0.4708835341365462,0.4708835341365462,,True,256
Kernel SVM (rbf),KMeans,0.5572289156626506,0.5572289156626506,,True,256
Kernel SVM (sigmoid),KMeans,0.5321285140562249,0.5321285140562249,,True,256
K Nearest Neighbors,KMeans,0.641566265060241,0.6164658634538153,,False,16
Neural Network,KMeans,0.4708835341365462,0.4598393574297188,,False,16
Random Forest,KMeans,0.8744979919678714,0.8744979919678714,,False,16
Kernel SVM (linear),KMeans,0.6947791164658635,0.6054216867469879,,False,16
Kernel SVM (poly),KMeans,0.7971887550200804,0.7971887550200804,,False,16
Kernel SVM (rbf),KMeans,0.643574297188755,0.5281124497991968,,False,16
Kernel SVM (sigmoid),KMeans,0.7329317269076304,0.6024096385542168,,False,16
K Nearest Neighbors,KMeans,0.5662650602409639,0.502008032128514,,False,32
Neural Network,KMeans,0.5441767068273092,0.5441767068273092,,False,32
Random Forest,KMeans,0.9608433734939759,0.9608433734939759,,False,32
Kernel SVM (linear),KMeans,0.5923694779116465,0.5210843373493975,,False,32
Kernel SVM (poly),KMeans,0.713855421686747,0.713855421686747,,False,32
Kernel SVM (rbf),KMeans,0.7068273092369477,0.6506024096385542,,False,32
Kernel SVM (sigmoid),KMeans,0.7449799196787148,0.7449799196787148,,False,32
K Nearest Neighbors,KMeans,0.4939759036144578,0.44879518072289154,,False,64
Neural Network,KMeans,0.5130522088353414,0.5130522088353414,,False,64
Random Forest,KMeans,0.9588353413654618,0.9588353413654618,,False,64
Kernel SVM (linear),KMeans,0.7299196787148595,0.6616465863453815,,False,64
Kernel SVM (poly),KMeans,0.7339357429718877,0.7339357429718877,,False,64
Kernel SVM (rbf),KMeans,0.7439759036144578,0.7439759036144578,,False,64
Kernel SVM (sigmoid),KMeans,0.7419678714859438,0.7419678714859438,,False,64
K Nearest Neighbors,KMeans,0.3885542168674699,0.37650602409638556,,False,128
Neural Network,KMeans,0.5913654618473895,0.5913654618473895,,False,128
Random Forest,KMeans,0.9257028112449799,0.9257028112449799,,False,128
